frame_id,track_id,class_id,class_name,cx,cy,x1,y1,x2,y2,confidence,crossed
54,4,3,car,1208,758,1075,702,1342,815,0.8019,False
54,2,3,car,819,753,715,707,923,800,0.7294,False
54,63,3,car,109,911,19,752,199,1071,0.5468,False
54,21,8,bus,346,746,72,625,620,868,0.3823,False
54,1,3,car,1023,756,921,714,1125,799,0.5953,False
55,4,3,car,1224,759,1091,703,1357,815,0.8232,False
55,2,3,car,807,754,703,708,912,801,0.7362,False
55,63,3,car,112,905,20,744,205,1066,0.2624,False
55,21,8,bus,360,751,89,637,631,866,0.3044,False
55,1,3,car,1012,757,915,716,1110,798,0.7406,False
56,4,3,car,1237,758,1105,702,1370,814,0.8210,False
56,2,3,car,800,756,696,710,904,802,0.7426,False
56,21,8,bus,379,753,114,644,645,862,0.4424,False
56,1,3,car,1007,757,906,715,1108,799,0.7564,False
57,4,3,car,1251,757,1117,700,1386,814,0.8164,False
57,2,3,car,792,757,689,712,896,803,0.7056,False
57,21,8,bus,409,753,142,647,676,860,0.3173,False
57,1,3,car,997,757,895,715,1100,800,0.7832,False
57,63,9,motor,121,902,33,754,209,1050,0.3454,False
58,4,3,car,1266,757,1130,699,1403,815,0.8083,False
58,2,3,car,784,757,684,713,885,802,0.7061,False
58,21,3,car,411,753,149,651,674,856,0.3180,False
58,1,3,car,986,758,883,715,1089,801,0.7814,False
58,63,3,car,125,899,38,758,213,1041,0.4899,False
59,4,3,car,1282,756,1147,699,1417,814,0.7998,False
59,2,3,car,781,758,682,714,881,803,0.5888,False
59,21,3,car,420,753,161,653,679,854,0.2857,False
59,1,3,car,972,757,866,713,1079,802,0.7715,False
60,4,3,car,1297,757,1164,701,1431,814,0.8024,False
60,2,3,car,773,758,677,715,869,802,0.6542,False
60,21,3,car,447,754,189,655,706,853,0.4105,False
60,1,3,car,961,757,852,712,1070,802,0.7652,False
61,4,3,car,1312,757,1180,701,1445,814,0.8079,False
61,2,3,car,763,759,668,716,858,802,0.5825,False
61,21,3,car,457,754,199,655,716,854,0.3236,False
61,1,3,car,950,757,839,711,1061,803,0.7928,False
62,4,3,car,1328,757,1198,702,1459,813,0.7895,False
62,21,3,car,492,754,230,654,754,854,0.3895,False
